Interface language	Язык интерфейса	Интерфейс тілі
PathShift — Find your next move	PathShift — Ваш следующий шаг	PathShift — Келесі қадамыңыз
Opportunity map	Карта возможностей	Мүмкіндіктер картасы
My shortlist	Избранные программы	Таңдалған бағдарламалар
Compare paths	Сравнить варианты	Нұсқаларды салыстыру
My roadmap	План действий	Іс-қимыл жоспары
Sources & evidence	Источники и подтверждения	Дереккөздер мен дәлелдер
My profile	Мой профиль	Менің профилім
Workspace	Рабочее пространство	Жұмыс кеңістігі
Your profile	Ваш профиль	Профиліңіз
YOUR WORKSPACE	ВАШЕ ПРОСТРАНСТВО	ЖҰМЫС КЕҢІСТІГІҢІЗ
YOUR ADMISSION WORKSPACE	ВАШ ПЛАН ПОСТУПЛЕНИЯ	ОҚУҒА ТҮСУ ЖОСПАРЫҢЫЗ
YOUR ADMISSION PROFILE	ПРОФИЛЬ АБИТУРИЕНТА	ТАЛАПКЕР ПРОФИЛІ
YOUR NEXT CHAPTER	ВАШ СЛЕДУЮЩИЙ ЭТАП	КЕЛЕСІ КЕЗЕҢІҢІЗ
YOUR STARTING POINT	ВАША ОТПРАВНАЯ ТОЧКА	БАСТАПҚЫ ЖАҒДАЙЫҢЫЗ
YOUR DESTINATION	ВАША ЦЕЛЬ	МАҚСАТЫҢЫЗ
YOUR NEXT BEST ACTION	ПРИОРИТЕТНЫЙ ШАГ	ЕҢ МАҢЫЗДЫ КЕЛЕСІ ҚАДАМ
YOUR NEXT MOVE	ВАШ СЛЕДУЮЩИЙ ШАГ	КЕЛЕСІ ҚАДАМЫҢЫЗ
FROM POSSIBILITIES TO PROGRESS	ОТ ВОЗМОЖНОСТЕЙ К ДЕЙСТВИЯМ	МҮМКІНДІКТЕН ІС-ӘРЕКЕТКЕ
CLARITY YOU CAN CHECK	ВЫВОДЫ, КОТОРЫЕ МОЖНО ПРОВЕРИТЬ	ТЕКСЕРУГЕ БОЛАТЫН ҚОРЫТЫНДЫЛАР
MEET ARUZHAN · DEMO PROFILE	АРУЖАН · ДЕМОПРОФИЛЬ	АРУЖАН · ДЕМОПРОФИЛЬ
Your opportunity map.	Ваша карта возможностей.	Мүмкіндіктер картаңыз.
Your future has more	Ваше будущее —	Болашағыңыздың
than one path.	это несколько путей.	бірнеше жолы бар.
Change an input. See what opens up.	Измените данные и узнайте, какие варианты появятся.	Деректерді өзгертіп, қандай мүмкіндіктер ашылатынын көріңіз.
Make your next move with a reason.	Выбирайте следующий шаг осознанно.	Келесі қадамыңызды саналы түрде таңдаңыз.
See where you stand — and what could change your options.	Узнайте, что уже подходит и что можно улучшить.	Қай талаптарға сай екеніңізді және нені жақсартуға болатынын біліңіз.
One step closer.	На шаг ближе.	Бір қадам жақынырақ.
Every small change can open a different path.	Даже небольшое изменение может открыть новый путь.	Шағын өзгерістің өзі жаңа жол ашуы мүмкін.
See my next step	Мой следующий шаг	Келесі қадамым
Your admission journey	Ваш путь к поступлению	Оқуға түсу жолыңыз
Demo applicant	Демопрофиль	Демопрофиль
Saved on this device	Сохранено на устройстве	Осы құрылғыда сақталды
Reset demo	Сбросить демо	Демоны қалпына келтіру
Recalculating…	Пересчитываем…	Қайта есептелуде…
Edit profile	Редактировать профиль	Профильді өңдеу
Build my profile	Заполнить профиль	Профильді толтыру
Build my opportunity map	Построить карту возможностей	Мүмкіндіктер картасын құру
View diagnosis	Анализ профиля	Профильді талдау
Explore paths	Изучить варианты	Нұсқаларды қарау
Compare	Сравнить	Салыстыру
Take your next step	Перейти к действиям	Іс-әрекетке көшу
You, today	Вы сегодня	Бүгінгі жағдайыңыз
One change	Одно изменение	Бір өзгеріс
A new possibility	Новая возможность	Жаңа мүмкіндік
An alternative route	Альтернативный путь	Балама жол
A question to resolve	Вопрос для уточнения	Нақтылауды қажет ететін сұрақ
Ready to apply	Готово к подаче	Өтінім беруге дайын
Within reach	Можно выполнить	Орындауға болады
Conditional path	Условный маршрут	Шартты қабылдау жолы
Blocked for this intake	Недоступно в этом наборе	Осы қабылдау кезеңінде қолжетімсіз
Blocked	Недоступно	Қолжетімсіз
Needs verification	Нужно уточнить	Нақтылау қажет
Need verification	Требуют уточнения	Нақтылау қажет
Reachable / conditional	Выполнимые / условные	Орындалатын / шартты
All paths	Все варианты	Барлық нұсқалар
Saved paths	Сохранённые варианты	Сақталған нұсқалар
Find a program…	Найти программу…	Бағдарламаны іздеу…
Search programs	Поиск программ	Бағдарламаларды іздеу
Include other countries	Показать другие страны	Басқа елдерді көрсету
programs evaluated ·	программ проверено ·	бағдарлама тексерілді ·
shown	показано	көрсетілді
Your shortlist starts with a possibility.	Сохраните первый интересный вариант.	Қызықтырған алғашқы нұсқаны сақтаңыз.
No exact paths under these filters.	Нет вариантов с такими фильтрами.	Бұл сүзгілерге сай нұсқалар жоқ.
Explore the full map, keep a program that interests you, or adjust your country preferences.	Посмотрите все программы, сохраните интересные или измените выбранные страны.	Барлық бағдарламаны қарап, қызықтырғандарын сақтаңыз немесе таңдалған елдерді өзгертіңіз.
Explore all 12 programs	Показать все 12 программ	Барлық 12 бағдарламаны қарау
Ready means no detected published blocker in the evaluated rules. It is not an admission guarantee. Every program includes its evidence limits.	Готовность означает, что среди проверенных требований не найдено препятствий. Это не гарантия зачисления. Для каждой программы указаны ограничения данных.	Дайындық тексерілген талаптар бойынша кедергі табылмағанын білдіреді. Бұл оқуға қабылдануға кепілдік бермейді. Әр бағдарламада деректердің шектеулері көрсетілген.
paths selected	варианта выбрано	нұсқа таңдалды
See the differences side by side.	Сравните ключевые различия.	Негізгі айырмашылықтарды салыстырыңыз.
What if?	А что, если?	Ал егер ше?
One change. New possibilities.	Одно изменение. Новые возможности.	Бір өзгеріс. Жаңа мүмкіндіктер.
LAB	СЦЕНАРИИ	СЦЕНАРИЙЛЕР
Explore an English result	Изменить результат по английскому	Ағылшын тілі нәтижесін өзгерту
Choose the score and bands below	Укажите общий балл и компоненты	Жалпы балл мен бөлімдердің нәтижелерін көрсетіңіз
IELTS overall	Общий балл IELTS	IELTS жалпы балы
Component scores	Баллы по компонентам	Бөлімдер бойынша балдар
Reading	Чтение	Оқылым
Writing	Письмо	Жазылым
Listening	Аудирование	Тыңдалым
Speaking	Говорение	Айтылым
reading	Чтение	Оқылым
writing	Письмо	Жазылым
listening	Аудирование	Тыңдалым
speaking	Говорение	Айтылым
overall	Общий балл	Жалпы балл
These are hypothetical scores. Your bands do not automatically change with your overall score.	Это предполагаемые баллы. Изменение общего балла не меняет компоненты автоматически.	Бұл — болжамды балдар. Жалпы балл өзгергенде бөлімдердің балдары автоматты түрде өзгермейді.
Add a valid SAT	Добавить результат SAT	SAT нәтижесін қосу
Test a required-score branch	Проверить требование к экзамену	Емтихан талабын тексеру
Hypothetical SAT score	Предполагаемый балл SAT	Болжамды SAT балы
Explore a different budget	Изменить бюджет	Бюджетті өзгерту
Keep academic results separate	Без изменения учебных результатов	Оқу нәтижелерін өзгертпей
Country preference	Страна обучения	Оқу елі
Keep my countries	Оставить выбранные страны	Таңдалған елдерді сақтау
Explore this scenario	Рассчитать сценарий	Сценарийді есептеу
Try freely. Apply only when you’re ready.	Исследуйте варианты. Применяйте, когда будете готовы.	Нұсқаларды тексеріңіз. Дайын болғанда ғана қолданыңыз.
You’re exploring a scenario	Вы просматриваете сценарий	Сценарийді қарап жатырсыз
Your saved profile has not changed.	Сохранённый профиль пока не изменён.	Сақталған профиль әлі өзгерген жоқ.
Apply scenario	Применить сценарий	Сценарийді қолдану
Discard	Отменить	Бас тарту
Discard changes	Отменить изменения	Өзгерістерден бас тарту
HERE’S WHAT CHANGED	ЧТО ИЗМЕНИЛОСЬ	НЕ ӨЗГЕРДІ
requirement gaps removed	препятствий устранено	кедергі жойылды
program states changed	статусов программ изменено	бағдарлама мәртебесі өзгерді
dated budget comparisons changed	сравнений бюджета изменено	бюджет салыстыруы өзгерді
roadmap tasks removed ·	задач убрано из плана ·	тапсырма жоспардан алынды ·
Next action stays the same	Следующий шаг не изменился	Келесі қадам өзгерген жоқ
Next action updated	Следующий шаг обновлён	Келесі қадам жаңартылды
Choose a path to start your roadmap	Сохраните программу, чтобы составить план	Жоспар құру үшін бағдарлама сақтаңыз
Save programs that interest you. Your next steps will take shape here.	Сохраните интересные программы — здесь появятся следующие шаги.	Қызықтырған бағдарламаларды сақтаңыз — келесі қадамдар осы жерде пайда болады.
Open my roadmap	Открыть план действий	Іс-қимыл жоспарын ашу
Evidence, not guesswork.	Выводы на основе источников.	Дереккөздерге негізделген қорытындылар.
Requirements linked to official sources. Remaining gaps shown clearly.	Требования связаны с официальными источниками. Пробелы в данных указаны явно.	Талаптарға ресми дереккөздер берілген. Деректердегі олқылықтар анық көрсетілген.
Different paths. A clearer choice.	Разные пути. Осознанный выбор.	Әртүрлі жолдар. Саналы таңдау.
Compare the requirements that matter to your profile.	Сравните требования, важные для вашего профиля.	Профиліңізге маңызды талаптарды салыстырыңыз.
Choose at least two paths.	Выберите хотя бы два варианта.	Кемінде екі нұсқа таңдаңыз.
Select programs above to compare their decisive differences.	Выберите программы выше, чтобы увидеть ключевые различия.	Негізгі айырмашылықтарды көру үшін жоғарыдан бағдарламаларды таңдаңыз.
FOR YOUR PROFILE	ДЛЯ ВАШЕГО ПРОФИЛЯ	ПРОФИЛІҢІЗ ҮШІН
required branches satisfied	обязательных условий выполнено	міндетті шарт орындалды
No known requirement gaps in the evaluated branches.	В проверенных условиях нет известных препятствий.	Тексерілген шарттарда белгілі кедергілер жоқ.
branches need verification.	условий требуют уточнения.	шартты нақтылау қажет.
THE ROUTE	ПУТЬ ПОСТУПЛЕНИЯ	ОҚУҒА ТҮСУ ЖОЛЫ
COST & TIMING	СТОИМОСТЬ И СРОКИ	ҚҰНЫ МЕН МЕРЗІМІ
Application deadline needs verification.	Срок подачи нужно уточнить.	Өтінім беру мерзімін нақтылау қажет.
Understand this path	Подробнее о варианте	Нұсқа туралы толығырақ
Small steps. Real progress.	Небольшие шаги. Реальный прогресс.	Шағын қадамдар. Нақты ілгерілеу.
A living plan, built from your shortlist and the requirements ahead.	План обновляется с учётом выбранных программ и требований.	Жоспар таңдалған бағдарламалар мен талаптарға қарай жаңарып отырады.
Save a program. Start a plan.	Сохраните программу и начните план.	Бағдарламаны сақтап, жоспар құруды бастаңыз.
Your roadmap is built from the programs in your shortlist.	План строится на основе сохранённых программ.	Жоспар сақталған бағдарламаларға негізделеді.
shortlisted programs	выбранных программ	таңдалған бағдарлама
Requirement-based action	Шаг на основе требований	Талаптарға негізделген қадам
Update my profile	Обновить профиль	Профильді жаңарту
Mark this step complete	Отметить шаг выполненным	Қадамды орындалды деп белгілеу
Why this action? Among steps with completed prerequisites: most shortlisted programs affected, then earliest known deadline, then a stable tie-break. Timing is not a guarantee.	Почему этот шаг? Из доступных задач выбирается та, которая касается большего числа выбранных программ, затем — с ближайшим известным сроком. При равенстве действует постоянный порядок. Сроки не гарантируются.	Неліктен осы қадам? Алғышарттары орындалған тапсырмалардың ішінен көбірек таңдалған бағдарламаға қатыстысы, одан кейін белгілі мерзімі ең жақыны таңдалады. Тең болғанда тұрақты рет қолданылады. Мерзімдерге кепілдік берілмейді.
Your action plan	Ваш план действий	Іс-қимыл жоспарыңыз
completed	выполнено	орындалды
of	из	/
of 4	из 4	/ 4
Your shortlist powers this page.	Сначала выберите программы.	Алдымен бағдарламаларды таңдаңыз.
Save a few programs to create personalized steps.	Сохраните несколько программ, чтобы получить личный план.	Жеке жоспар алу үшін бірнеше бағдарламаны сақтаңыз.
CHECK & CONFIRM	ПРОВЕРКА И УТОЧНЕНИЕ	ТЕКСЕРУ ЖӘНЕ НАҚТЫЛАУ
TESTS & LANGUAGE	ЭКЗАМЕНЫ И ЯЗЫК	ЕМТИХАНДАР МЕН ТІЛ
FINANCIAL PLANNING	ФИНАНСОВЫЙ ПЛАН	ҚАРЖЫ ЖОСПАРЫ
APPLICATION MATERIALS	ДОКУМЕНТЫ ДЛЯ ПОСТУПЛЕНИЯ	ӨТІНІМ ҚҰЖАТТАРЫ
First:	Сначала:	Алдымен:
View evidence	Посмотреть основания	Негіздемені қарау
Reopen	Вернуть в работу	Қайта ашу
Enter completed result	Внести результат	Нәтижені енгізу
Mark complete	Отметить выполненным	Орындалды деп белгілеу
Built around your shortlist	На основе выбранных программ	Таңдалған бағдарламаларға негізделген
Marking a research task complete records progress. It does not turn an unknown university rule into a verified one. Test results need their actual new values.	Отметка о выполнении сохраняет прогресс, но не подтверждает неизвестное правило вуза. Для экзаменов нужно внести реальные новые баллы.	Тапсырманы орындалды деп белгілеу ілгерілеуді сақтайды, бірақ ЖОО-ның белгісіз ережесін растамайды. Емтихандар үшін нақты жаңа балдарды енгізу керек.
Export my plan	Скачать мой план	Жоспарымды жүктеу
Export plan	Скачать план	Жоспарды жүктеу
