Published requirements, in one place	Опубликованные требования в одном месте	Жарияланған талаптар бір жерде
Checked 17 September 2026 · international first-year applicants	Проверено 17 сентября 2026 · иностранные абитуриенты первого курса	2026 жылғы 17 қыркүйекте тексерілді · халықаралық бірінші курс талапкерлері
Housing source	Источник стоимости жилья	Тұру бағасының дереккөзі
Compare the same criteria side by side. Costs retain their currency and academic year.	Сравните вузы по одинаковым критериям. У расходов указаны исходная валюта и учебный год.	Университеттерді бірдей шарттар бойынша салыстырыңыз. Шығындардың бастапқы валютасы мен оқу жылы көрсетілген.
Swipe the table on a small screen	На маленьком экране листайте таблицу вбок	Шағын экранда кестені көлденең сырғытыңыз
University comparison	Сравнение университетов	Университеттерді салыстыру
Criteria	Критерии	Шарттар
For your profile	Для вашего профиля	Сіздің профиліңізге сай
The route	Маршрут поступления	Түсу жолы
Published reference	Опубликованный ориентир	Жарияланған бағдар
Add profile details	Дополнить профиль	Профильді толықтыру
The rule is known. Add the missing value in your profile.	Правило известно. Добавьте недостающие сведения в профиль.	Талап белгілі. Жетпейтін мәліметті профильге қосыңыз.
This model evaluates the listed academic and English requirements; no SAT threshold is applied here.	Модель проверяет указанные академические требования и английский; порог SAT здесь не применяется.	Модель көрсетілген академиялық және ағылшын талаптарын тексереді; мұнда SAT шегі қолданылмайды.
Open this path to inspect the available rules and their sources.	Откройте маршрут, чтобы посмотреть доступные правила и источники.	Қолда бар талаптар мен дереккөздерді көру үшін жолды ашыңыз.
Profile values to add	Сведений профиля не хватает	Профильде жетпейтін мәліметтер
See published dates	См. опубликованные сроки	Жарияланған мерзімдерді қараңыз
Complete profile: {requirement}	Дополнить профиль: {requirement}	Профильді толықтыру: {requirement}
School coursework · Purdue, RIT and ASU	Школьные предметы · Purdue, RIT и ASU	Мектеп пәндері · Purdue, RIT және ASU
Use high-school course years, including current final-year subjects. For math through precalculus, confirm algebra, geometry, algebra II and precalculus. Leave an unknown value blank; it is not a failure.	Укажите годы изучения предметов в старшей школе, включая текущий выпускной год. Для precalculus подтвердите алгебру, геометрию, алгебру II и precalculus. Неизвестное оставьте пустым — это не отказ.	Жоғары сыныптағы пән жылдарын, соның ішінде ағымдағы бітіру жылын көрсетіңіз. Precalculus үшін алгебра, геометрия, алгебра II және precalculus барын растаңыз. Белгісізді бос қалдырыңыз — бұл бас тарту емес.
Only enter GPA already reported on a 4.0 scale or confirmed by ASU. Do not convert IB or national grades yourself. School GPA and competency-course GPA are separate.	Укажите GPA, уже выданный по шкале 4,0 или подтверждённый ASU. Не переводите оценки IB и национальной системы самостоятельно. Общий школьный GPA и GPA по требуемым предметам — разные показатели.	Тек 4,0 шкаласында берілген немесе ASU растаған GPA енгізіңіз. IB мен ұлттық бағаларды өзіңіз түрлендірмеңіз. Жалпы мектеп GPA мен қажетті пәндер GPA — бөлек көрсеткіштер.
Not entered	Не указано	Көрсетілмеген
Purdue: confirm only after selecting valid English evidence under the official policy. This is your declaration, not confirmation from the university.	Purdue: подтверждайте только после выбора действительного документа по официальным правилам английского. Это ваша декларация, а не подтверждение вуза.	Purdue: ресми ағылшын талабына сай жарамды дәлелді таңдаған соң ғана растаңыз. Бұл университет растауы емес, сіздің мәлімдемеңіз.
Yes	Да	Иә
No	Нет	Жоқ
School coursework · US universities	Школьные предметы · вузы США	Мектеп пәндері · АҚШ университеттері
IB bonus points (TOK / EE)	Бонусные баллы IB (TOK / EE)	IB бонус ұпайлары (TOK / EE)
Waterloo counts subject points out of 42, excluding up to 3 bonus points. Keep your overall IB total on the original 45-point scale.	Waterloo считает предметные баллы из 42, без бонуса до 3 баллов. Общую сумму IB сохраняйте по исходной шкале 45.	Waterloo 3-ке дейінгі бонуссыз пән ұпайларын 42-ден есептейді. Жалпы IB ұпайын бастапқы 45 шкаласында сақтаңыз.
Details to clarify	Уточнить сведения	Мәліметтерді нақтылау
IB subject points must be between 0 and 42 after removing bonus points.	После вычета бонусных баллов сумма по предметам IB должна быть от 0 до 42.	Бонус ұпайларын шегергеннен кейін IB пән ұпайлары 0–42 аралығында болуы тиіс.
