YOUR NEXT CHAPTER, WITH A PLAN	НОВАЯ ГЛАВА НАЧИНАЕТСЯ С ПЛАНА	ЖАҢА КЕЗЕҢ ЖОСПАРДАН БАСТАЛАДЫ
A university goal.	Мечта о вузе.	Мақсатың — университет.
More than one way forward.	Не один путь к цели.	Мақсатқа жетудің жолы көп.
Turn your grades, budget and ambitions into a clear admission plan. See what fits today — and what could change tomorrow.	Преврати свои оценки, бюджет и цели в понятный план поступления. Узнай, что подходит сейчас и что можно изменить завтра.	Бағаларыңды, бюджетіңді және мақсаттарыңды түсінікті түсу жоспарына айналдыр. Қазір не сәйкес келетінін және ертең нені өзгертуге болатынын көр.
Create my profile	Создать свой профиль	Өз профилімді жасау
Explore the demo	Посмотреть демо	Демоны көру
Your account. Your own profile. No borrowed scores.	Твой аккаунт. Твой профиль. Только твои результаты.	Өз аккаунтың. Өз профилің. Тек өз нәтижелерің.
HOW A PATH TAKES SHAPE	КАК ПОЯВЛЯЕТСЯ ПЛАН	ЖОСПАР ҚАЛАЙ ҚҰРЫЛАДЫ
Your starting point	Твоя отправная точка	Сенің бастапқы жағдайың
Grades · language · budget · preferences	Оценки · язык · бюджет · предпочтения	Бағалар · тіл · бюджет · қалаулар
TODAY	СЕГОДНЯ	БҮГІН
Understand your options	Пойми свои возможности	Мүмкіндіктеріңді түсін
See requirements you meet and the details still needed.	Узнай, какие требования выполнены и что ещё нужно уточнить.	Қай талаптарға сай келетініңді және нені нақтылау керектігін біл.
WHAT IF?	А ЧТО ЕСЛИ?	АЛ ЕГЕР ШЕ?
Try a different future	Попробуй другой сценарий	Басқа сценарийді байқап көр
Change a planned score or budget. Compare the effect before committing.	Измени будущий балл или бюджет. Сравни результат, прежде чем действовать.	Жоспарланған балды не бюджетті өзгерт. Әрекет етпес бұрын нәтижесін салыстыр.
One clear next action	Понятный следующий шаг	Түсінікті келесі қадам
A roadmap with deadlines and reasons you can inspect.	План со сроками и объяснениями, которые можно проверить.	Мерзімдері мен тексеруге болатын түсіндірмелері бар жоспар.
An illustration of the journey, not an admission prediction.	Пример работы сервиса, а не прогноз зачисления.	Бұл — сервистің жұмыс үлгісі, қабылдану болжамы емес.
Built around Computer Science, international first-year entry and Fall 2027. Start with six featured universities; inspect the evidence behind every result.	Фокус — Computer Science, поступление иностранных абитуриентов на первый курс осенью 2027 года. Начни с шести основных вузов и проверь источники каждого вывода.	Бағыты — Computer Science, шетелдік талапкерлердің 2027 жылдың күзінде бірінші курсқа түсуі. Алты негізгі университеттен бастап, әр қорытындының дереккөзін тексер.
FROM QUESTION TO NEXT STEP	ОТ ВОПРОСА К ДЕЙСТВИЮ	СҰРАҚТАН ӘРЕКЕТКЕ
Make the plan yours.	Построй план под себя.	Жоспарды өзіңе бейімде.
Create your account	Создай свой аккаунт	Өз аккаунтыңды жаса
Keep your admission profile linked to your account.	Сохрани профиль поступления в своём аккаунте.	Оқуға түсу профиліңді өз аккаунтыңда сақта.
Tell us where you are	Расскажи о своей ситуации	Қазіргі жағдайыңды көрсет
Add your actual results and preferences. Leave unfinished tests unanswered.	Укажи реальные результаты и предпочтения. Если тест ещё не сдан, оставь балл пустым.	Нақты нәтижелерің мен қалауларыңды енгіз. Тест әлі тапсырылмаса, балын бос қалдыр.
Explore, compare, act	Изучай, сравнивай, действуй	Зертте, салыстыр, әрекет ет
Test possible futures, choose alternatives and follow your roadmap.	Проверяй сценарии, выбирай альтернативы и следуй своему плану.	Сценарийлерді тексер, баламаларды таңда және жоспарыңмен жүр.
Start with your reality. Explore your possibilities.	Начни со своей ситуации. Узнай свои возможности.	Өз жағдайыңнан баста. Мүмкіндіктеріңді зертте.
PathShift explains requirements and possible actions. Universities make the admission decisions.	PathShift объясняет требования и возможные действия. Решение о зачислении принимает университет.	PathShift талаптар мен ықтимал әрекеттерді түсіндіреді. Қабылдау туралы шешімді университет қабылдайды.
Privacy	Конфиденциальность	Құпиялық
Account navigation	Навигация аккаунта	Аккаунт навигациясы
Sign in	Войти	Кіру
Sign out	Выйти	Шығу
Could not sign out. Please try again.	Не удалось выйти. Попробуй ещё раз.	Шығу мүмкін болмады. Қайталап көр.
