Explore CS through projects and research	Изучай CS через проекты и исследования	CS-ті жобалар мен зерттеулер арқылы үйрен
A broad Computer Sciences degree in Madison, with BA and BS routes and opportunities to work with faculty.	Программа Computer Sciences в Мэдисоне: варианты BA и BS, широкий выбор тем и возможность работать с преподавателями над исследованиями.	Мэдисондағы Computer Sciences бағдарламасы: BA және BS нұсқалары, түрлі тақырыптар және оқытушылармен зерттеу мүмкіндігі.
Learn by building	Учёба через проекты	Жоба арқылы оқу
Project-oriented courses cover AI, graphics, security, databases and human-computer interaction.	Проектные курсы охватывают ИИ, графику, безопасность, базы данных и взаимодействие человека с компьютером.	Жобалық курстар ЖИ, графика, қауіпсіздік, дерекқорлар және адам-компьютер өзара әрекетін қамтиды.
Try research as an undergraduate	Исследования уже в бакалавриате	Бакалавриаттағы зерттеулер
Faculty-supervised work can take the form of a senior thesis or directed study.	С преподавателем можно работать над выпускной исследовательской работой или индивидуальным учебным проектом.	Оқытушымен бірге дипломдық зерттеу немесе жеке оқу жобасын орындауға болады.
Worth exploring if you want to try several CS areas before choosing a direction.	Присмотрись, если хочешь попробовать разные области CS, прежде чем выбрать направление.	Бағыт таңдамас бұрын CS салаларын байқап көргің келсе, қарастыр.
CS major declaration happens after specified university courses. Admission to the university and declaring the major are separate steps.	Специализацию CS оформляют после определённых университетских курсов. Поступление в вуз и выбор специализации — разные этапы.	CS мамандануын белгіленген университет курстарынан кейін рәсімдейді. Университетке түсу мен мамандану — бөлек кезеңдер.
Connect your studies with work experience	Соединяй учёбу с опытом работы	Оқуды жұмыс тәжірибесімен ұштастыр
Computer Science in Waterloo offers regular and co-op routes, bringing academic study and workplace experience into the same degree.	Computer Science в Ватерлоо предлагает обычный маршрут и co-op: учёбу с периодами работы во время получения диплома.	Ватерлоода Computer Science бағдарламасының қалыпты және co-op бағыттары бар: диплом алу кезінде оқу мен жұмыс кезеңдерін ұштастыруға болады.
Co-op, explained	Что такое co-op	Co-op деген не?
Co-op alternates study terms with work terms. The regular route is also available.	Co-op чередует учебные семестры с рабочими периодами. Есть и обычный маршрут обучения.	Co-op оқу семестрлерін жұмыс кезеңдерімен алмастырады. Қалыпты оқу бағыты да бар.
A place to build with others	Среда для совместных проектов	Бірге жоба жасау ортасы
Waterloo hosts Hack the North, a hackathon where participants build projects together.	В Waterloo проходит Hack the North — хакатон, на котором участники вместе создают проекты.	Waterloo-да қатысушылар бірлесіп жоба жасайтын Hack the North хакатоны өтеді.
Worth exploring if testing different roles during your degree matters to you.	Присмотрись, если хочешь пробовать разные рабочие роли ещё во время учёбы.	Оқу кезінде түрлі жұмыс рөлдерін байқап көргің келсе, қарастыр.
Co-op means planning around work terms and job applications. Do not treat possible earnings as guaranteed funding.	Co-op требует планировать рабочие периоды и искать вакансии. Возможный заработок не стоит считать гарантированным бюджетом.	Co-op үшін жұмыс кезеңдерін жоспарлап, бос орын іздеу қажет. Ықтимал табысты кепілді қаржы деп есептеме.
Shape CS around the problems you care about	Выбирай темы CS под свои интересы	CS тақырыптарын қызығушылығыңа сай таңда
