Scenario	Сценарий	Сценарий жоспары
Already meets: {rule}	Уже выполнено: {rule}	Орындалған талап: {rule}
Matches your chosen field and country; requirements still need attention.	Совпадает с вашим направлением и страной; требования ещё нужно проверить.	Таңдаған мамандығыңыз бен еліңізге сай; талаптарды әлі тексеру қажет.
Outside your current preferences; review before adding.	Не входит в текущие предпочтения; проверьте перед добавлением.	Қазіргі таңдауыңызға кірмейді; қоспас бұрын тексеріңіз.
Scenarios can change future tests and preferences, not your identity or academic history.	В сценариях можно менять будущие результаты и предпочтения, но не личные данные и историю обучения.	Сценарийлерде болашақ нәтижелер мен таңдауларды өзгертуге болады, бірақ жеке деректер мен оқу тарихын өзгертуге болмайды.
Save scenario	Сохранить сценарий	Сценарийді сақтау
Saved scenarios	Сохранённые сценарии	Сақталған сценарийлер
Scenario name	Название сценария	Сценарий атауы
e.g. IELTS target	Например, цель по IELTS	Мысалы, IELTS мақсаты
Back up my profile	Скачать копию профиля	Профиль көшірмесін жүктеу
Undo demo reset	Восстановить профиль до сброса	Қалпына келтіруге дейінгі профильді қайтару
Previous profile restored.	Предыдущий профиль восстановлен.	Алдыңғы профиль қайтарылды.
No previous profile backup is available.	Копии профиля до сброса пока нет.	Қалпына келтіруге дейінгі профиль көшірмесі жоқ.
Draft saved on this device	Черновик сохранён на устройстве	Қаралама осы құрылғыда сақталды
Saved profile · draft available	Профиль сохранён · есть черновик	Профиль сақталды · қаралама бар
Changes could not be saved	Не удалось сохранить изменения	Өзгерістерді сақтау мүмкін болмады
Your unfinished profile has been restored.	Незавершённая анкета восстановлена.	Аяқталмаған сауалнама қалпына келтірілді.
Three paths selected. Remove one before adding another.	Уже выбрано три варианта. Уберите один, чтобы добавить другой.	Үш нұсқа таңдалды. Басқасын қосу үшін біреуін алып тастаңыз.
Three scenarios saved. Remove one before saving another.	Уже сохранено три сценария. Уберите один, чтобы сохранить новый.	Үш сценарий сақталған. Жаңасын сақтау үшін біреуін алып тастаңыз.
Choose at least one change before saving a scenario.	Выберите хотя бы одно изменение для сценария.	Сценарий үшін кемінде бір өзгеріс таңдаңыз.
Scenario saved. Your actual results are unchanged.	Сценарий сохранён. Ваши реальные результаты не изменились.	Сценарий сақталды. Нақты нәтижелеріңіз өзгерген жоқ.
Close the scenario before changing your actual shortlist.	Закройте сценарий, чтобы изменить ваше избранное.	Таңдалған бағдарламаларды өзгерту үшін сценарийді жабыңыз.
Reset to the demo?	Вернуться к демопрофилю?	Демопрофильге оралу керек пе?
Your current profile will be backed up. Use Undo demo reset to restore it.	Сохраним копию текущего профиля. После сброса его можно вернуть кнопкой «Восстановить профиль до сброса».	Қазіргі профильдің көшірмесі сақталады. Оны «Қалпына келтіруге дейінгі профильді қайтару» түймесімен қайтара аласыз.
Back up and reset	Сохранить копию и сбросить	Көшірмесін сақтап, қалпына келтіру
Up to three alternative plans. Opening a plan recalculates it against your current profile; actual results never change.	До трёх альтернативных планов. При открытии план пересчитывается относительно текущего профиля; реальные результаты не меняются.	Үшке дейін балама жоспар. Ашылғанда жоспар қазіргі профильмен қайта салыстырылады; нақты нәтижелер өзгермейді.
Explore a change in the scenario lab, then save it here.	Рассчитайте изменение в блоке «А что, если?» и сохраните сценарий.	«Ал егер ше?» бөлімінде өзгерісті есептеп, сценарийді сақтаңыз.
Compare with my current profile	Сравнить с текущим профилем	Қазіргі профильмен салыстыру
Remove scenario	Убрать сценарий	Сценарийді алып тастау
Close navigation	Закрыть меню	Мәзірді жабу
Age must be between 10 and 100.	Возраст должен быть от 10 до 100 лет.	Жас 10 бен 100 аралығында болуы керек.
HL courses cannot exceed the total number of IB courses.	Предметов HL не может быть больше, чем всех предметов IB.	HL пәндерінің саны барлық IB пәндерінің санынан аспауы керек.
This workspace covers 12 Computer Science programs for international first-year entry in Fall 2027. IB is the best-supported curriculum; other routes may need verification.	Здесь 12 программ по компьютерным наукам для иностранных абитуриентов первого курса на осень 2027. Лучше всего проработана программа IB; другие пути могут потребовать уточнения.	Мұнда 2027 жылғы күзде бірінші курсқа түсетін шетелдік талапкерлерге арналған компьютерлік ғылымдар бойынша 12 бағдарлама бар. IB талаптары толығырақ қамтылған; басқа жолдарды нақтылау қажет болуы мүмкін.
Your unfinished profile is saved as a draft on this device.	Незавершённая анкета сохраняется как черновик на этом устройстве.	Аяқталмаған сауалнама осы құрылғыда қаралама ретінде сақталады.
Documents checked for	Документы проверены для	Құжаттар тексерілген бағдарлама:
Save programs first, then confirm each institution’s document checklist here.	Сначала добавьте программы в избранное, затем подтвердите здесь готовность документов для каждого вуза.	Алдымен бағдарламаларды таңдаңыз, содан кейін әр университеттің құжаттар тізімін осы жерде растаңыз.
You have confirmed this step in your profile.	Вы подтвердили этот шаг в профиле.	Бұл қадамды профиліңізде растадыңыз.
This step is not confirmed yet. Complete it, then update your profile.	Этот шаг пока не подтверждён. Выполните его и обновите профиль.	Бұл қадам әлі расталмаған. Оны орындап, профиліңізді жаңартыңыз.
Submit the initial application by this date. Documents and scores may have separate later deadlines below. PathShift does not submit applications.	Подайте основное заявление к этой дате. Для документов и результатов могут действовать отдельные, более поздние сроки ниже. PathShift не отправляет заявления.	Негізгі өтінімді осы күнге дейін беріңіз. Құжаттар мен нәтижелер үшін төменде бөлек, кейінгі мерзімдер болуы мүмкін. PathShift өтінімдерді жібермейді.
Why this action? Among available steps: earliest known deadline, then most shortlisted programs affected. Timing is not a guarantee.	Почему этот шаг? Среди доступных задач сначала учитывается ближайший известный срок, затем — число выбранных программ, которым поможет действие. Соблюдение сроков не гарантируется.	Неге осы қадам? Қолжетімді міндеттердің ішінде алдымен ең жақын белгілі мерзім, содан кейін әрекет көмектесетін таңдалған бағдарламалар саны ескеріледі. Мерзімге үлгеруге кепілдік берілмейді.
Export calendar	Скачать календарь	Күнтізбені жүктеу
Your deadline calendar	Ваш календарь сроков	Мерзімдер күнтізбеңіз
Calendar dates are reminders. Check the official cutoff and timezone before submitting.	Даты календаря служат напоминаниями. Перед подачей проверьте точное время и часовой пояс в официальном источнике.	Күнтізбедегі күндер еске салу үшін берілген. Өтінім жібермес бұрын ресми дереккөзден нақты уақыт пен уақыт белдеуін тексеріңіз.
No verified deadlines for your current shortlist and intake.	Для выбранных программ и года поступления пока нет подтверждённых сроков.	Таңдалған бағдарламалар мен қабылдау жылына расталған мерзімдер әзірге жоқ.
