Evidence is not sufficient to evaluate this requirement.	Недостаточно данных для проверки этого требования.	Бұл талапты тексеруге дерек жеткіліксіз.
A later enrolment step, not a high-school application blocker.	Это этап после зачисления, а не препятствие для подачи после школы.	Бұл — оқуға қабылданғаннан кейінгі кезең, мектептен кейін өтінім беруге кедергі емес.
Informational only; not an application blocker.	Только для информации; не препятствует подаче.	Тек ақпарат үшін; өтінім беруге кедергі емес.
No IELTS result supplied. Other routes may require verification.	Результат IELTS не указан. Другие способы подтверждения нужно уточнить.	IELTS нәтижесі көрсетілмеген. Растаудың басқа жолдарын нақтылау қажет.
Planned scores do not satisfy published requirements.	Запланированные баллы не подтверждают выполнение требований.	Жоспарланған балдар талаптардың орындалғанын растамайды.
A completed test date is required.	Нужна дата уже сданного экзамена.	Тапсырылған емтиханның күні қажет.
This result is more than two years old.	Этому результату больше двух лет.	Бұл нәтижеге екі жылдан асқан.
A valid score must have a completed test date.	Для результата нужна дата уже сданного экзамена.	Нәтиже үшін тапсырылған емтиханның күні қажет.
This profile value has not been supplied.	Это значение в профиле не указано.	Профильде бұл мән көрсетілмеген.
This predicate requires a verified normalization that is not available.	Для этой проверки нужно подтверждённое сопоставление, которого пока нет.	Бұл тексеруге әлі жоқ расталған сәйкестендіру қажет.
Requirement or a verified exemption must pass.	Нужно выполнить требование или подтвердить освобождение от него.	Талапты орындау немесе одан босатуды растау қажет.
Direct route satisfied.	Условия прямого маршрута выполнены.	Тікелей жолдың шарттары орындалған.
Verified alternative route conditions satisfied.	Подтверждённые условия альтернативного маршрута выполнены.	Балама жолдың расталған шарттары орындалған.
Alternative applicability has not been established.	Применимость альтернативного маршрута не установлена.	Балама жолдың қолданылуы анықталмаған.
Published conditions for this branch are satisfied.	Опубликованные условия этой ветки выполнены.	Осы тармақтың жарияланған шарттары орындалған.
One or more published conditions are not satisfied.	Одно или несколько опубликованных условий не выполнены.	Бір немесе бірнеше жарияланған шарт орындалмаған.
Some required values or source predicates remain unknown.	Некоторые необходимые значения или условия остаются неизвестными.	Кейбір қажетті мәндер немесе шарттар әлі белгісіз.
No verified rules are available for this scope.	Для этой категории нет подтверждённых правил.	Бұл санат үшін расталған ережелер жоқ.
No institution-specific equivalency inferred from citizenship.	Гражданство не используется для предположения об эквивалентности образования.	Азаматтық негізінде білімнің сәйкестігі туралы болжам жасалмайды.
This audience or intake is outside the frozen dataset	Эта категория или набор не охвачены данными	Бұл санат немесе қабылдау кезеңі деректермен қамтылмаған
Curriculum mapping needs verification	Соответствие школьной программы нужно уточнить	Мектеп бағдарламасының сәйкестігін нақтылау қажет
Score delivery / completion timing needs confirmation. This is a hypothetical change, not a verified feasible plan.	Дату получения результата или завершения нужно подтвердить. Пока это гипотеза, а не подтверждённый выполнимый план.	Нәтиже алу немесе аяқтау күнін растау қажет. Әзірге бұл — болжам, расталған орындалатын жоспар емес.
Expected completion is after the available deadline.	Ожидаемая дата завершения позже известного срока.	Күтілетін аяқтау күні белгілі мерзімнен кейін.
Feasible against the entered completion date; improvement and delivery are not guaranteed.	Выполнимо с учётом указанной даты; улучшение результата и его доставка не гарантируются.	Көрсетілген күнге сай орындауға болады; нәтижені жақсартуға және жеткізуге кепілдік берілмейді.
Review a later intake	Рассмотреть более поздний набор	Кейінгі қабылдау кезеңін қарастыру
Plan your next English result	Запланировать следующий результат по английскому	Ағылшын тілінен келесі нәтижені жоспарлау
Check the component requirements and score-delivery date. Enter the actual new scores when received.	Проверьте требования к компонентам и дату получения результата. Когда получите новые баллы, внесите их.	Бөлімдерге қойылатын талаптарды және нәтиже алу күнін тексеріңіз. Жаңа балдарды алған соң енгізіңіз.
Add a completed SAT or ACT result	Внести результат сданного SAT или ACT	Тапсырылған SAT немесе ACT нәтижесін енгізу
Required for the selected testing branches. A planned attempt is not a completed result.	Нужно для соответствующих экзаменационных требований. Запланированная попытка не считается результатом.	Тиісті емтихан талаптары үшін қажет. Жоспарланған талпыныс алынған нәтиже болып саналмайды.
Submit Waterloo’s Admission Information Form	Отправить Admission Information Form в Waterloo	Waterloo университетіне Admission Information Form жіберу
Record completion only after submitting the AIF to Waterloo.	Отметьте выполнение только после отправки AIF в Waterloo.	AIF нысанын Waterloo университетіне жібергеннен кейін ғана орындалды деп белгілеңіз.
Prepare your application records	Подготовить документы для поступления	Оқуға түсу құжаттарын дайындау
Review each shortlisted institution’s checklist, official transcripts, translations and supplementary forms.	Проверьте списки документов каждого выбранного вуза: выписки оценок, переводы и дополнительные формы.	Әр таңдалған ЖОО-ның құжаттар тізімін тексеріңіз: бағалар көшірмелері, аудармалар және қосымша нысандар.
Explore a direct English route	Рассмотреть прямой маршрут по английскому	Ағылшын тілі бойынша тікелей жолды қарастыру
Your current scores meet a published conditional English branch. Simulate stronger scores to see whether the direct branch changes.	Текущие баллы соответствуют опубликованной условной языковой ветке. Проверьте сценарий с более высокими баллами для прямого маршрута.	Қазіргі балдарыңыз жарияланған шартты тілдік тармаққа сай. Тікелей жол үшін жоғары балдары бар сценарийді тексеріңіз.
Review the published cost estimate	Проверить опубликованную стоимость	Жарияланған құнды тексеру
Confirm the institution-specific document checklist on the official application portal.	Проверьте список документов в официальном портале выбранного вуза.	Таңдалған ЖОО-ның ресми өтінім порталындағы құжаттар тізімін тексеріңіз.
Use the official application portal after reviewing all requirements. PathShift does not submit applications.	После проверки требований используйте официальный портал подачи. PathShift не отправляет заявления.	Талаптарды тексергеннен кейін ресми өтінім порталын пайдаланыңыз. PathShift өтінім жібермейді.
Original grades retained without GPA conversion.	Исходные оценки сохранены без перевода в GPA.	Бастапқы бағалар GPA-ға аударылмай сақталған.
Fall 2027 total costs are not frozen.	Полная стоимость на осень 2027 не зафиксирована.	2027 жылғы күзге арналған толық құн бекітілмеген.
Missing academic mappings and conditional-route predicates remain needs verification.	Неизвестные академические соответствия и условия альтернативных маршрутов нужно уточнить.	Белгісіз академиялық сәйкестіктер мен балама жолдардың шарттарын нақтылау қажет.
Verified	Подтверждено	Расталған
Partial	Частично подтверждено	Ішінара расталған
Stale	Устаревшие данные	Ескірген деректер
Conflicting	Противоречивые данные	Қайшы деректер
Feasible	По срокам выполнимо	Мерзім бойынша орындауға болады
Tight	Сжатые сроки	Мерзім тығыз
Missed	Срок прошёл	Мерзім өтіп кеткен
Within budget	В пределах бюджета	Бюджет шегінде
Over budget	Выше бюджета	Бюджеттен жоғары
PASS	ВЫПОЛНЕНО	ОРЫНДАЛҒАН
FAIL	НЕ ВЫПОЛНЕНО	ОРЫНДАЛМАҒАН
UNKNOWN	НЕИЗВЕСТНО	БЕЛГІСІЗ
NOT APPLICABLE	НЕ ПРИМЕНИМО	ҚОЛДАНЫЛМАЙДЫ
CONDITIONAL	УСЛОВНЫЙ МАРШРУТ	ШАРТТЫ ЖОЛ
Application	Подача заявления	Өтінім беру
Document	Документы	Құжаттар
English score	Результат по английскому	Ағылшын тілі нәтижесі
Test score	Результат экзамена	Емтихан нәтижесі
English	Английский	Ағылшын тілі
Documents	Документы	Құжаттар
Aif	AIF	AIF
Sat	SAT	SAT
Act	ACT	ACT
evidence	данные	деректер
satisfied	выполнено	орындалған
requirement	требование	талап
improved in a recalculation.	улучшено при пересчёте.	қайта есептеуде жақсарды.
15-unit subject pattern needs a complete mapping	Нужно полное сопоставление 15 учебных единиц	15 оқу бірлігі бойынша толық сәйкестендіру қажет
Complete first-year requirements need verification	Полные требования к первому курсу нужно уточнить	Бірінші курсқа қойылатын толық талаптарды нақтылау қажет
Remaining academic / application requirements need verification	Остальные требования к образованию и подаче нужно уточнить	Білім мен өтінімге қойылатын қалған талаптарды нақтылау қажет
SAT or ACT required	Требуется SAT или ACT	SAT немесе ACT қажет
SAT result	Результат SAT	SAT нәтижесі
ACT result	Результат ACT	ACT нәтижесі
SAT / ACT is optional	SAT / ACT необязателен	SAT / ACT міндетті емес
Exact USG English method is not frozen	Точный способ подтверждения английского по USG не зафиксирован	USG бойынша ағылшын тілін растаудың нақты тәсілі бекітілмеген
Secondary credential assessment needs verification	Оценку документа о среднем образовании нужно уточнить	Орта білім құжатын бағалауды нақтылау қажет
First-year English predicate is not frozen	Языковые условия для первого курса не зафиксированы	Бірінші курсқа арналған тілдік шарттар бекітілмеген
International secondary documents need verification	Документы об иностранном среднем образовании нужно уточнить	Шетелдік орта білім құжаттарын нақтылау қажет
Secondary documents checklist	Список документов о среднем образовании	Орта білім құжаттарының тізімі
CS application checklist (DAE / SIF / records)	Документы для CS: DAE, SIF и выписки оценок	CS құжаттары: DAE, SIF және бағалар көшірмелері
IELTS Academic requirement	Требование IELTS Academic	IELTS Academic талабы
IELTS reading	IELTS: чтение	IELTS: оқылым
IELTS writing	IELTS: письмо	IELTS: жазылым
IELTS listening	IELTS: аудирование	IELTS: тыңдалым
IELTS speaking	IELTS: говорение	IELTS: айтылым
IB academic prerequisites	Академические требования IB	IB академиялық талаптары
IB curriculum	Программа IB	IB бағдарламасы
ib total	Общий балл IB	IB жалпы балы
math aa hl	Математика AA HL	AA HL математикасы
ib courses	Предметы IB	IB пәндері
hl courses	Предметы HL	HL пәндері
ib diploma	Диплом IB	IB дипломы
english a	Английский A	Ағылшын тілі A
Admission Information Form	Анкета Admission Information Form	Admission Information Form сауалнамасы
Curriculum-specific academic mapping is not frozen	Сопоставление этой учебной программы не зафиксировано	Осы оқу бағдарламасының сәйкестігі бекітілмеген
Senior academic English	Академический английский в старших классах	Жоғары сыныптағы академиялық ағылшын тілі
Direct English route	Прямой языковой маршрут	Тікелей тілдік жол
Alternative IELTS configuration	Альтернативное сочетание баллов IELTS	IELTS балдарының балама үйлесімі
BASE IELTS overall	BASE: общий балл IELTS	BASE: IELTS жалпы балы
BASE IELTS writing	BASE: IELTS по письму	BASE: IELTS жазылым балы
One-term BASE English thresholds	Языковые пороги BASE на один семестр	Бір семестрлік BASE тілдік шектері
English: direct or BASE pathway	Английский: прямой маршрут или BASE	Ағылшын тілі: тікелей жол немесе BASE
English: direct or conditional route	Английский: прямой или условный маршрут	Ағылшын тілі: тікелей немесе шартты жол
Conditional IELTS range	Диапазон IELTS для условного приёма	Шартты қабылдауға арналған IELTS аралығы
IELTS guidance: usually 6.5, components 6.0	Ориентир IELTS: обычно 6,5, компоненты 6,0	IELTS бағдары: әдетте 6,5, бөлімдер 6,0
School of Computer Science	Школа компьютерных наук	Компьютерлік ғылымдар мектебі
BS Computer Science	BS · Компьютерные науки	BS · Компьютерлік ғылымдар
BS Computer Science · Grainger	BS · Компьютерные науки · Grainger	BS · Компьютерлік ғылымдар · Grainger
Computer Science BS	BS · Компьютерные науки	BS · Компьютерлік ғылымдар
BSc Computer Science	BSc · Компьютерные науки	BSc · Компьютерлік ғылымдар
BSc · Computer Science pathway	BSc · Путь к компьютерным наукам	BSc · Компьютерлік ғылымдарға апаратын жол
Computer Science category · BCS	Категория компьютерных наук · BCS	Компьютерлік ғылымдар санаты · BCS
Computer Science · BCS	Компьютерные науки · BCS	Компьютерлік ғылымдар · BCS
Computer Science · Faculty of Mathematics	Компьютерные науки · Факультет математики	Компьютерлік ғылымдар · Математика факультеті
Computer Sciences · BA / BS	Компьютерные науки · BA / BS	Компьютерлік ғылымдар · BA / BS
Apply to SCS; choose your major after enrolment.	Подача в SCS; специальность выбирается после зачисления.	SCS-ке өтінім беру; мамандық оқуға қабылданғаннан кейін таңдалады.
First-year admission with an intended major.	Поступление на первый курс с указанием желаемой специальности.	Қалаған мамандықты көрсетіп, бірінші курсқа түсу.
Apply with Computer Science as your chosen major.	Укажите Computer Science как выбранную специальность.	Таңдалған мамандық ретінде Computer Science көрсетіңіз.
Intended-major application; complete rules need verification.	Подача на выбранное направление; полные правила нужно уточнить.	Таңдалған бағытқа өтінім беру; толық ережелерді нақтылау қажет.
University admission first; declare Computer Sciences later.	Сначала зачисление в университет, затем выбор Computer Sciences.	Алдымен университетке қабылдану, содан кейін Computer Sciences таңдау.
Program application; English pathway requires verification.	Подача на программу; языковой маршрут нужно уточнить.	Бағдарламаға өтінім беру; тілдік жолды нақтылау қажет.
CS may set requirements above the university baseline.	Требования CS могут быть выше общеуниверситетских.	CS талаптары университеттің жалпы талаптарынан жоғары болуы мүмкін.
IB entry into the Faculty of Mathematics / CS route.	Поступление с IB на факультет математики по маршруту CS.	IB арқылы математика факультетіне CS жолымен түсу.
Enter the Faculty of Science; CS specialization is a later step.	Сначала факультет естественных наук; специализация CS выбирается позже.	Алдымен жаратылыстану факультетіне түсу; CS мамандандыруы кейін таңдалады.
Enter the CS admission category; progress to the program after Year 1.	Сначала категория приёма CS; переход на программу после первого курса.	Алдымен CS қабылдау санатына түсу; бағдарламаға бірінші курстан кейін өту.
BCS begins Fall 2027; secondary prerequisites need verification.	BCS начинается осенью 2027; школьные требования нужно уточнить.	BCS 2027 жылғы күзде басталады; мектеп талаптарын нақтылау қажет.
Exact direct BSc record needs verification; foundation is a separate route.	Условия прямого BSc нужно уточнить; foundation — отдельный маршрут.	Тікелей BSc шарттарын нақтылау қажет; foundation — бөлек жол.
One-term BASE English pathway	Языковой маршрут BASE на один семестр	Бір семестрлік BASE тілдік жолы
English Language Center conditional route	Условный маршрут через English Language Center	English Language Center арқылы шартты жол
English Language Transition Program	Переходная программа английского языка	Ағылшын тіліне бейімдеу бағдарламасы
Availability for your profile needs verification. Route existence does not establish eligibility.	Доступность для вашего профиля нужно уточнить. Наличие маршрута не подтверждает соответствие его условиям.	Бұл жолдың профиліңізге қолжетімділігін нақтылау қажет. Жолдың болуы оның шарттарына сай екеніңізді растамайды.
Academic eligibility still needs verification; meeting the English range does not establish admission.	Академическое соответствие нужно уточнить; языковые баллы не подтверждают зачисление.	Академиялық сәйкестікті нақтылау қажет; тілдік балдар оқуға қабылдануды растамайды.
