What draws your curiosity?	Что тебе интересно?	Сені не қызықтырады?
Choose a few interests. You can change them later.	Выбери несколько интересов. Потом их можно изменить.	Бірнеше қызығушылықты таңда. Кейін өзгертуге болады.
Building apps	Создавать приложения	Қосымшалар жасау
Artificial intelligence	Искусственный интеллект	Жасанды интеллект
Design and creativity	Дизайн и творчество	Дизайн және шығармашылық
Science and discovery	Наука и открытия	Ғылым және жаңалықтар
Helping people	Помогать людям	Адамдарға көмектесу
Business and startups	Бизнес и стартапы	Бизнес және стартаптар
What do you enjoy doing?	Чем тебе нравится заниматься?	Немен айналысқанды ұнатасың?
For example: building games, explaining maths to friends, drawing or exploring how things work.	Например: делать игры, объяснять друзьям математику, рисовать или разбираться, как всё устроено.	Мысалы: ойын жасау, достарыңа математиканы түсіндіру, сурет салу немесе заттардың қалай жұмыс істейтінін зерттеу.
MY APPLICANT PROFILE	МОЙ ПРОФИЛЬ АБИТУРИЕНТА	МЕНІҢ ТАЛАПКЕР ПРОФИЛІМ
More than your test scores.	Ты — больше, чем баллы.	Сенің мүмкіндігің ұпаймен шектелмейді.
Bring your interests, experience and goals together. Then explore universities with your own story in mind.	Собери свои интересы, опыт и цели. С этим профилем будет легче понять, какой университет тебе подходит.	Қызығушылықтарыңды, тәжірибеңді және мақсаттарыңды жинақта. Осы профильмен өзіңе сай университетті түсіну оңайырақ болады.
Build your story	Расскажи о себе	Өзің туралы айтып бер
Small experiences count. You do not need awards to begin.	Даже небольшой опыт важен. Чтобы начать, награды не нужны.	Шағын тәжірибе де маңызды. Бастау үшін марапат қажет емес.
Experience topics	Темы об опыте	Тәжірибе тақырыптары
Projects	Проекты	Жобалар
Competitions	Соревнования	Жарыстар
Research	Исследования	Зерттеулер
Community and responsibility	Помощь и ответственность	Көмек және жауапкершілік
Goals	Цели	Мақсаттар
Have you built anything? A website, a school project, a design or a small experiment all count. What did you personally do?	Ты что-нибудь создавал? Сайт, школьный проект, дизайн или небольшой эксперимент тоже считаются. Что именно сделал ты?	Бірдеңе жасап көрдің бе? Сайт, мектеп жобасы, дизайн немесе шағын тәжірибе де есептеледі. Өзің нақты не істедің?
Have you joined hackathons, olympiads, sports or other competitions? Tell me your role and the result, even if you did not win.	Ты участвовал в хакатонах, олимпиадах, спортивных или других соревнованиях? Расскажи о своей роли и результате, даже если не победил.	Хакатонға, олимпиадаға, спорттық немесе басқа жарысқа қатыстың ба? Жеңбесең де, өз рөлің мен нәтижеңді айтып бер.
Have you explored a question in depth, worked with a teacher or written a research project? What did you investigate?	Ты глубоко изучал какой-то вопрос, работал с преподавателем или писал исследовательский проект? Что исследовал?	Қандай да бір сұрақты терең зерттедің бе, мұғаліммен жұмыс істедің бе немесе зерттеу жобасын жаздың ба? Нені зерттедің?
Have you helped others, volunteered, worked, led a club or taken care of family? What responsibility did you have?	Ты помогал другим, был волонтёром, работал, вёл кружок или заботился о семье? За что ты отвечал?	Басқаларға көмектестің бе, ерікті болдың ба, жұмыс істедің бе, үйірме басқардың ба немесе отбасыңа қамқор болдың ба? Не үшін жауапты болдың?
What would you like to learn or build next? What kind of problems matter to you?	Чему хочешь научиться или что создать дальше? Какие проблемы тебе важно решать?	Әрі қарай нені үйренгің немесе жасағың келеді? Қандай мәселелерді шешу сен үшін маңызды?
What happened? What was your contribution? What did you learn? You can also say “not yet”.	Что происходило? Каков твой вклад? Чему научился? Можно написать «пока не пробовал».	Не болды? Сенің үлесің қандай? Не үйрендің? «Әзірге байқап көрмедім» деп те жазуға болады.
AI receives only these interests and notes when you ask for help. Leave out contact details and private information.	Когда просишь помощь, ИИ получает только эти интересы и заметки. Не добавляй контакты и личную информацию.	Көмек сұрағанда ЖИ тек осы қызығушылықтар мен жазбаларды алады. Байланыс деректері мен жеке ақпаратты қоспа.
Help me remember and explain	Помоги вспомнить и описать	Еске түсіруге және сипаттауға көмектес
Next topic	Следующая тема	Келесі тақырып
Add your answer to the notes above. Only your notes become part of your profile.	Дополни заметки выше своим ответом. В профиль попадает только то, что написал ты.	Жоғарыдағы жазбаларды жауабыңмен толықтыр. Профильге тек өзің жазған ақпарат енеді.
Your resume	Твоё резюме	Сенің түйіндемең
Draft with AI	Составить с ИИ	ЖИ көмегімен құрастыру
Turn your real experience into clear descriptions. Review every line before saving.	Преврати реальный опыт в понятные формулировки. Проверь каждую строку перед сохранением.	Нақты тәжірибеңді түсінікті сипаттамаға айналдыр. Сақтамас бұрын әр жолды тексер.
Draft description	Черновик описания	Сипаттама нобайы
Based on your words	На основе твоих слов	Сенің сөздеріңе негізделген
I checked it — save to my profile	Я проверил — сохранить в профиль	Тексердім — профиліме сақтау
Your resume starts with the experiences above. Nothing is invented or added automatically.	Резюме собирается из твоего опыта выше. Ничего не выдумывается и не добавляется автоматически.	Түйіндеме жоғарыдағы тәжірибеңнен құралады. Ештеңе ойдан шығарылмайды және автоматты қосылмайды.
Download my resume	Скачать резюме	Түйіндемені жүктеу
Interests	Интересы	Қызығушылықтар
Education	Образование	Білім
Experience	Опыт	Тәжірибе
Interests → experience → university → application	Интересы → опыт → университет → поступление	Қызығушылықтар → тәжірибе → университет → оқуға түсу
Grades, tests and budget	Оценки, тесты и бюджет	Бағалар, тесттер және бюджет
Your next step	Твой следующий шаг	Келесі қадамың
Save your story, then meet the universities and check their requirements.	Сохрани профиль, познакомься с университетами и проверь их требования.	Профиліңді сақта, университеттермен таныс және талаптарын тексер.
Save my story	Сохранить мой опыт	Тәжірибемді сақтау
Explore universities	Посмотреть университеты	Университеттерді қарау
AI is helping with your story…	ИИ помогает описать твой опыт…	ЖИ тәжірибеңді сипаттауға көмектесіп жатыр…
Your story is saved.	Твой опыт сохранён.	Тәжірибең сақталды.
Your draft could not be saved on this device.	Не удалось сохранить черновик на этом устройстве.	Бұл құрылғыда нобайды сақтау мүмкін болмады.
AI could not respond. Your notes are safe. Try again.	ИИ не ответил. Заметки сохранены в форме — попробуй ещё раз.	ЖИ жауап бере алмады. Жазбаларың формада сақтаулы — қайта көр.
My story and resume	Мой профиль и резюме	Профилім және түйіндемем
Ask AI	Спросить ИИ	ЖИ-ден сұрау
University tools	Выбор университета	Университет таңдау
Back to universities	К университетам	Университеттерге оралу
Build my profile	Заполнить профиль	Профильді толтыру
Your results and requirements	Твои результаты и требования	Нәтижелерің және талаптар
What do I need?	Что мне нужно?	Маған не қажет?
Update my scores	Обновить мои баллы	Ұпайларымды жаңарту
Your saved results, compared with the checked rules. Alternative routes are shown separately.	Твои сохранённые результаты и проверенные требования. Альтернативные способы выполнить условие отмечены отдельно.	Сақталған нәтижелерің және тексерілген талаптар. Шартты орындаудың балама жолдары бөлек көрсетілген.
Your result	У тебя	Сенде
Requirement	Требуется	Талап
See policy	Смотри условие	Шартты қара
Covered by another route	Выполнено другим способом	Басқа жолмен орындалған
Completed	Завершено	Аяқталған
Score to improve	Не хватает баллов	Жетпейтін ұпай
Not an application blocker	Не мешает подаче	Өтініш беруге кедергі емес
Needs attention	Нужно проверить	Тексеру қажет
See the programme-specific checks below. No numeric score threshold is inferred.	Смотри условия программы ниже. Числовой порог без подтверждения не назначается.	Төмендегі бағдарлама шарттарын қара. Расталмаған сандық шек қойылмайды.
Meet the university	Познакомиться с вузом	Университетпен танысу
The story behind the name	История университета	Университет тарихы
Read the university history	История на сайте университета	Университет сайтындағы тарих
Known for	Чем известен	Несімен танымал
University photograph	Фотография университета	Университет фотосуреті
Photo source	Источник фото	Фото дереккөзі
The resume coach sends your interests and experience notes to CloseRouter only when you ask it for help. Review its draft before saving. Your saved story and resume are stored with your account profile; unfinished drafts stay on this device.	Помощник по резюме отправляет интересы и заметки об опыте в CloseRouter только по твоему запросу. Проверь черновик перед сохранением. Сохранённые опыт и резюме хранятся в профиле аккаунта; незавершённые черновики — на этом устройстве.	Түйіндеме көмекшісі қызығушылықтарың мен тәжірибе жазбаларыңды CloseRouter-ге тек көмек сұрағанда жібереді. Сақтамас бұрын нобайды тексер. Сақталған тәжірибе мен түйіндеме аккаунт профилінде, ал аяқталмаған нобайлар осы құрылғыда сақталады.
Remove	Удалить	Жою
Stop	Остановить	Тоқтату
Score threshold met	Порог по этому баллу выполнен	Осы ұпай бойынша шек орындалған
Check component scores and alternative routes	Компоненты экзамена и альтернативные маршруты	Емтихан бөлімдері және балама жолдар
These are separate routes, not extra requirements to complete together.	Это отдельные варианты выполнения условий. Их не нужно выполнять все одновременно.	Бұлар шарттарды орындаудың жеке нұсқалары. Барлығын бір уақытта орындау қажет емес.
Get to know your future university.	Познакомься со своим будущим университетом.	Болашақ университетіңмен таныс.
Discover the university, check your results and build your application plan.	Узнай о вузе, сравни свои результаты с требованиями и составь план поступления.	Университетті таны, нәтижелеріңді талаптармен салыстыр және оқуға түсу жоспарын құр.
Print or save as PDF	Распечатать или сохранить PDF	Басып шығару немесе PDF сақтау
